Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures for passenger transport items (current US$) [ST.INT.TRNX.CD]","International tourism, expenditures for travel items (current US$) [ST.INT.TVLX.CD]","International tourism, number of arrivals [ST.INT.ARVL]","International tourism, number of departures [ST.INT.DPRT]",Losses due to theft and vandalism (% of annual sales of affected firms) [IC.FRM.CRIM.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],Price level ratio of PPP conversion factor (GDP) to market exchange rate [PA.NUS.PPPC.RF]
2019,YR2019,Gabon,GAB,"14945,85929",,,,,,,,"122,6279263","0,498630961"
2020,YR2020,Gabon,GAB,"14320,84465",,,,,,,,"124,0710261","0,455587755"
2021,YR2021,Gabon,GAB,"14197,6988",,,,,,,,,"0,513991323"
2019,YR2019,"Gambia, The",GMB,"2226,343905","1,561162499",10000000,"699999,9881","9300000,191",620000,,,"172,7304356","0,332932657"
2020,YR2020,"Gambia, The",GMB,"2158,442317","0,752554888","5199999,809","200000,003",5000000,246000,,,"182,9755551","0,332687447"
2021,YR2021,"Gambia, The",GMB,"2215,464634",,,,,,,,"196,4614895","0,343315244"
2019,YR2019,Georgia,GEO,"14989,25816","10,12123755",1124000000,467000000,657000000,7726000,3780000,"1,3","133,6124667","0,300613786"
2020,YR2020,Georgia,GEO,"13966,32634","3,256229415",292000000,112000000,180000000,1513000,,,"140,5636083","0,288893153"
2021,YR2021,Georgia,GEO,"15471,71501",,,,,,,,"154,0112083","0,296660666"
2019,YR2019,Germany,DEU,"53929,63929","6,347306837","1,01231E+11",8134000000,93097000000,39563000,99533000,,"112,8548873","0,840835065"
2020,YR2020,Germany,DEU,"51423,23504",,,,38752000000,12449000,,,"113,4267116","0,843341639"
2021,YR2021,Germany,DEU,"52930,80887",,,,,,,,"116,9916788","0,876987747"
2019,YR2019,Ghana,GHA,"5540,045627","5,128536981",1380000000,1052000000,328000000,,,,"278,4517371","0,389102818"
2020,YR2020,Ghana,GHA,"5451,121442","3,85408716",946000000,841000000,105000000,,,,"305,9830666","0,39205026"
2021,YR2021,Ghana,GHA,"5623,80586",,,,,,,,"336,4929095","0,395787945"
2019,YR2019,Gibraltar,GIB,,,,,,,,,,
2020,YR2020,Gibraltar,GIB,,,,,,,,,,
2021,YR2021,Gibraltar,GIB,,,,,,,,,,
2019,YR2019,Greece,GRC,"29698,03048","5,061777678",4211000000,1141000000,3070000000,34005000,7848000,,"101,9494141","0,630306689"
2020,YR2020,Greece,GRC,"27072,61865","2,090349559",1500000000,602000000,898000000,7406000,2324000,,"100,6771022","0,631416289"
2021,YR2021,Greece,GRC,"29428,39302",,,,,,,,"101,9092137","0,647913421"
2019,YR2019,Greenland,GRL,,,,,,,,,,
2020,YR2020,Greenland,GRL,,,,,,,,,,
2021,YR2021,Greenland,GRL,,,,,,,,,,
2019,YR2019,Grenada,GRD,"16867,57213","6,600261985",48000000,24000000,24000000,526000,,,"108,0688315","0,616315575"
2020,YR2020,Grenada,GRD,"14480,5067","2,04275742",12000000,7000000,5000000,217000,,,"107,2683304","0,60714144"
2021,YR2021,Grenada,GRD,"15183,40689",,,,,,,,"108,5764805","0,595226299"
2019,YR2019,Guam,GUM,,,,,,1667000,,,,
2020,YR2020,Guam,GUM,,,,,,328000,,,,
2021,YR2021,Guam,GUM,,,,,,,,,,
2019,YR2019,Guatemala,GTM,"8653,308195","5,240039046",1128000000,314000000,814000000,2560000,1703000,,"142,9213949","0,514345615"
2020,YR2020,Guatemala,GTM,"8393,284472","1,795603182",346000000,90000000,256000000,594000,"507799,9878",,"147,5155183","0,519978179"
2021,YR2021,Guatemala,GTM,"8892,483692",,,,,,,,"153,8012301","0,514428603"
2019,YR2019,Guinea,GIN,"2566,322989","9,71042337",419500000,"416600006,1","2900000,095",,,,"262,9498896","0,39354478"
2020,YR2020,Guinea,GIN,"2611,403311","17,02856217",1075099976,1070900024,"4199999,809",,,,"290,8274688","0,391716092"
2021,YR2021,Guinea,GIN,"2620,249519",,,,,,,,"327,4632072","0,407960747"
2019,YR2019,Guinea-Bissau,GNB,"1939,28951","17,70195344","88900001,53","1799999,952","87099998,47","52400,00153",,,"112,7180728","0,370808094"
2020,YR2020,Guinea-Bissau,GNB,"1847,465824",,,,,,,,,"0,373347002"
2021,YR2021,Guinea-Bissau,GNB,"1872,482562",,,,,,,,,"0,395198275"
2019,YR2019,Guyana,GUY,"13082,18148",,,,47000000,315000,,,"116,1914755","0,484770515"
2020,YR2020,Guyana,GUY,"18679,95543",,,,47000000,"86400,00153",,,"117,3456485","0,353040057"
2021,YR2021,Guyana,GUY,"22295,48997",,,,,,,,"123,2514857","0,382743284"
2019,YR2019,Haiti,HTI,"3073,32914","10,73351358",554000000,337000000,217000000,938000,,,"212,8253122","0,409851754"
2020,YR2020,Haiti,HTI,"2934,245881",,,,,,,,"261,341633","0,411112114"
2021,YR2021,Haiti,HTI,"2846,741099",,,,,,,,"305,3555469","0,580247174"
2019,YR2019,Honduras,HND,"5736,181633","5,541001722",655000000,156000000,499000000,2315000,,,"150,3443578","0,430618669"
2020,YR2020,Honduras,HND,"5138,385398","2,316642635",230000000,67000000,163000000,669000,,,"155,5589192","0,44387917"
2021,YR2021,Honduras,HND,"5691,423197",,,,,,,,"162,5293272","0,452779163"
2019,YR2019,"Hong Kong, (China)",HKG,"59588,50493",,,,26879000000,55913000,94715000,,"134,6474431","0,778637774"
2020,YR2020,"Hong Kong, (China)",HKG,"55917,64746",,,,5520000000,3569000,8261000,,"134,9853571","0,781637288"
2021,YR2021,"Hong Kong, (China)",HKG,"60051,75485",,,,,,,,"137,1029511","0,752746831"
2019,YR2019,Hungary,HUN,"32553,69447","2,580454769",3352000000,611000000,2741000000,61397000,24860000,"1,3","121,6420474","0,499349212"
2020,YR2020,Hungary,HUN,"31167,71088","1,103569548",1334000000,175000000,1159000000,31641000,12727000,,"125,6887667","0,483134138"
2021,YR2021,Hungary,HUN,"33517,97411",,,,,,,,"132,1126761","0,51078608"
2019,YR2019,Iceland,ISL,"56935,77273",,,,1509000000,2202000,611000,,"129,0033312","1,182730275"
2020,YR2020,Iceland,ISL,"52375,68113",,,,519000000,488000,130000,,"132,6772481","1,105328209"
2021,YR2021,Iceland,ISL,"53462,65222",,,,,,,,"138,573743","1,186262344"
2019,YR2019,India,IND,"6689,365354","4,615932526",28595000000,5680000000,22915000000,17914000,26915000,,"171,621576","0,297237213"
2020,YR2020,India,IND,"6186,614395","3,199989954",15777000000,3203000000,12574000000,,,,"182,9888226","0,296241266"
2021,YR2021,India,IND,"6675,349453",,,,,,,,"192,3787247","0,310551933"
2019,YR2019,Indonesia,IDN,"11812,10243","7,074866239",14449000000,3141000000,11308000000,16107000,11689000,,"151,1766751","0,335907604"
2020,YR2020,Indonesia,IDN,"11445,61403","1,238490815",1980000000,327000000,1653000000,4053000,2918000,,"154,0807306","0,320611047"
2021,YR2021,Indonesia,IDN,"11746,21669",,,,,,,,"156,4845902","0,332586881"
2019,YR2019,"Iran, Islamic Republic of",IRN,"14903,51943",,,,,9107000,,,"550,9294253","0,22623779"
2020,YR2020,"Iran, Islamic Republic of",IRN,"14971,25",,,,,1550000,1550000,,"719,4815397","0,174575526"
2021,YR2021,"Iran, Islamic Republic of",IRN,,,,,,,,,,
2019,YR2019,Iraq,IRQ,"10889,8025","15,11430844",10925000000,,10925000000,,,,"119,6186996","0,523680312"
2020,YR2020,Iraq,IRQ,"9437,495166","7,623809237",4172000000,,4172000000,,,,"120,3055055","0,460477045"
2021,YR2021,Iraq,IRQ,"9474,778025",,,,,,,,"127,5742016","0,485004807"
2019,YR2019,Ireland,IRL,"86650,00466","1,800526697",8156000000,,8156000000,10951000,9350000,,"106,5843263","0,925691233"
2020,YR2020,Ireland,IRL,"90789,22102","0,504970078",2334000000,,2334000000,,2326000,"0,5","106,2277116","0,915077266"
2021,YR2021,Ireland,IRL,"102154,4345",,,,,,,,"108,7327129","0,931392619"
2019,YR2019,Isle of Man,IMN,,,,,,,,,,
2020,YR2020,Isle of Man,IMN,,,,,,,,,,
2021,YR2021,Isle of Man,IMN,,,,,,,,,,
2019,YR2019,Israel,ISR,"40626,21527","9,564123077",10389000000,2236000000,8153000000,4905000,9179000,,"108,1764389","1,098670488"
2020,YR2020,Israel,ISR,"39056,41853","2,283963322",2175000000,371000000,1804000000,,,,"107,539896","1,118723116"
2021,YR2021,Israel,ISR,"41582,47338",,,,,,,,"109,1447015","1,176307651"
2019,YR2019,Italy,ITA,"42746,29575","6,66460256",37908000000,7601000000,30307000000,95399000,62207000,"3,6","110,6235956","0,758819004"
2020,YR2020,Italy,ITA,"39071,02333","2,659936334",12965000000,2107000000,10858000000,38419000,21448000,,"110,4712586","0,758195488"
2021,YR2021,Italy,ITA,"41937,21115",,,,,,,,"112,5412505","0,773930853"
2019,YR2019,Jamaica,JAM,"9777,005686","6,108179154",508000000,224000000,284000000,4233000,,,"162,4915369","0,526956621"
2020,YR2020,Jamaica,JAM,"8761,019375","4,965175437",291000000,160000000,131000000,"1329699,951",,,"170,9846085","0,504774392"
2021,YR2021,Jamaica,JAM,"9126,115344",,,,,,,,"181,009064","0,457479958"
2019,YR2019,Japan,JPN,"41697,41194","3,191467487",29146000000,7869000000,21277000000,31881000,20081000,,"105,4842679","0,956848653"
2020,YR2020,Japan,JPN,"39935,46472","0,840640298",6741000000,1293000000,5448000000,"4115799,805",3174000,,"105,4579012","0,948169198"
2021,YR2021,Japan,JPN,"40769,82816",,,,,,,,"105,2118123","0,914876394"
2019,YR2019,Jordan,JOR,"10071,37989","7,143671554",1569000000,108000000,1461000000,5361000,1537000,"1,1","125,6040026","0,419712569"
2020,YR2020,Jordan,JOR,"9816,554516","2,214856697",408000000,27000000,381000000,1240000,406000,,"126,0226337","0,413627388"
2021,YR2021,Jordan,JOR,"9969,106441",,,,,,,,"127,7190165","0,402285898"
2019,YR2019,Kazakhstan,KAZ,"26351,80444","5,74310702",2955000000,192000000,2763000000,8515000,10707000,"4,1","188,5164343","0,35728976"
2020,YR2020,Kazakhstan,KAZ,"25361,50799","1,905657179",861000000,35000000,826000000,2035000,2865000,,"201,2394119","0,340990093"
2021,YR2021,Kazakhstan,KAZ,"26033,23843",,,,,,,,,"0,351101217"
2019,YR2019,Kenya,KEN,"4459,210605",,,,196000000,2049000,,,"189,966315","0,410831976"
2020,YR2020,Kenya,KEN,"4349,010163",,,,,,,,"200,2336423","0,408120337"
2021,YR2021,Kenya,KEN,"4572,668925",,,,,,,,"212,4697383","0,399487954"
2019,YR2019,Kiribati,KIR,"2102,782035",,,,"14300000,19",12000,,,"100,5346018","0,690363992"
2020,YR2020,Kiribati,KIR,"2059,100089",,,,"3200000,048",,,,,"0,697367933"
2021,YR2021,Kiribati,KIR,,,,,,,,,,
2019,YR2019,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,
2020,YR2020,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,
2021,YR2021,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,
2019,YR2019,"Korea, Rep.",KOR,"42758,59037","5,816736347",35339000000,2600000000,32739000000,17503000,28714000,,"115,1586343","0,741944482"
2020,YR2020,"Korea, Rep.",KOR,"42335,86534","3,084548765",16705000000,548000000,16157000000,2519000,4276000,,"115,7773678","0,698660356"
2021,YR2021,"Korea, Rep.",KOR,"44116,01344",,,,,,,,"118,6698724","0,740810954"
2019,YR2019,Kosovo,XKX,"11318,46225",,,,,,,"10,5","118,0656464","0,374368512"
2020,YR2020,Kosovo,XKX,"10706,51398",,,,,,,,"118,2996855","0,381728824"
2021,YR2021,Kosovo,XKX,"11579,32035",,,,,,,,"122,2670919","0,391996613"
2019,YR2019,Kuwait,KWT,"49946,73126","26,55157544",15839000000,,15839000000,8565000,,,"126,6015121","0,621908171"
2020,YR2020,Kuwait,KWT,"44847,05398","15,21291968",6696000000,,6696000000,2161000,,,"129,2623335","0,524527019"
2021,YR2021,Kuwait,KWT,,,,,,,,,"133,6877969",
2019,YR2019,Kyrgyz Republic,KGZ,"5258,366696","9,15313733",519000000,128000000,391000000,8508000,5314000,"5,9","155,6761524","0,250722339"
2020,YR2020,Kyrgyz Republic,KGZ,"4726,196559","4,566943033",185000000,96000000,89000000,,,,"165,5233275","0,237214582"
2021,YR2021,Kyrgyz Republic,KGZ,"4813,230183",,,,,,,,"185,2289456","0,241356499"
2019,YR2019,Lao PDR,LAO,"7886,652814","13,6868446",1029000000,18000000,1011000000,4791000,2690000,,"135,8665747","0,318017227"
2020,YR2020,Lao PDR,LAO,"7810,73497","4,47052255",260000000,9000000,251000000,"886400,0244",707000,,"142,8013033","0,316681987"
2021,YR2021,Lao PDR,LAO,"7895,569888",,,,,,,,"148,1643781","0,294133753"
2019,YR2019,Latvia,LVA,"31012,1351",,,,748000000,8342000,2384000,"0,9","116,8569846","0,562265028"
2020,YR2020,Latvia,LVA,"30053,26324",,,,301000000,3204000,690000,,"117,1129773","0,563373382"
2021,YR2021,Latvia,LVA,"31688,52661",,,,,,,,"120,9493986","0,598868729"
2019,YR2019,Lebanon,LBN,"14493,37237","20,85294101",6495000000,157000000,6338000000,1936000,,"9,1","130,0246118","0,498339196"
2020,YR2020,Lebanon,LBN,"10786,08742","11,17676203",1699000000,28000000,1671000000,,,,"240,3691313","0,334170835"
2021,YR2021,Lebanon,LBN,"9731,716602",,,,,,,,"612,355015","0,249779083"
2019,YR2019,Lesotho,LSO,"2656,115855","14,41219047",323000000,4000000,319000000,1142000,,,"155,8581951","0,416653903"
2020,YR2020,Lesotho,LSO,"2435,932437","13,90348367",277000000,1000000,276000000,,,,"163,6169668","0,408911455"
2021,YR2021,Lesotho,LSO,"2441,514388",,,,,,,,"173,5121053","0,434884131"
2019,YR2019,Liberia,LBR,"1469,763959",,,,"5699999,809",,,,,"0,438923362"
2020,YR2020,Liberia,LBR,"1392,010924",,,,,,,,,"0,409375076"
2021,YR2021,Liberia,LBR,"1413,448263",,,,,,,,,"0,433465959"
2019,YR2019,Libya,LBY,"21842,61925",,,,,,,,,"0,448859096"
2020,YR2020,Libya,LBY,"16388,82432",,,,,,,,,"0,440481505"
2021,YR2021,Libya,LBY,"21260,43238",,,,,,,,,"0,257676371"
2019,YR2019,Liechtenstein,LIE,,,,,,"98099,99847",,,,
2020,YR2020,Liechtenstein,LIE,,,,,,"58400,00153",,,,
2021,YR2021,Liechtenstein,LIE,,,,,,,,,,
2019,YR2019,Lithuania,LTU,"37166,21008",,,,1388000000,6150000,4881000,"0,9","118,3820983","0,507923497"
2020,YR2020,Lithuania,LTU,"37107,05664",,,,438000000,2284000,1643000,,"119,8025585","0,520370841"
2021,YR2021,Lithuania,LTU,"38957,63114",,,,,,,,"125,4135643","0,549237397"
2019,YR2019,Luxembourg,LUX,"116518,2768","2,782036832",3288000000,45000000,3243000000,1041000,2548000,,"115,0878151","0,964861646"
2020,YR2020,Luxembourg,LUX,"112557,3095","2,037034963",2458000000,38000000,2420000000,525000,1460000,"1,8","116,031486","0,987356578"
2021,YR2021,Luxembourg,LUX,"118680,0437",,,,,,,,"118,963509","1,006894029"
2019,YR2019,"Macao SAR, China",MAC,"127272,5485","11,56097724",2034000000,112000000,1922000000,39406000,1765000,,"144,0451479","0,649839747"
2020,YR2020,"Macao SAR, China",MAC,"57728,9864","5,822268909",886000000,41000000,845000000,5897000,125000,,"145,2139454","0,64711415"
2021,YR2021,"Macao SAR, China",MAC,"67178,74475",,,,,,,,,"0,615450566"
2019,YR2019,Madagascar,MDG,"1618,532561","6,791183785",319000000,142000000,177000000,486000,,,"184,3145251","0,311958412"
2020,YR2020,Madagascar,MDG,"1463,787723","2,584640075",97000000,18000000,79000000,"87099,99847",,,"192,0590402","0,3093443"
2021,YR2021,Madagascar,MDG,"1488,645037",,,,,,,,,"0,314846637"
2019,YR2019,Malawi,MWI,"1537,141177","6,004428876",195000000,56000000,139000000,,,,"418,3443255","0,369439029"
2020,YR2020,Malawi,MWI,"1508,842902","3,902230616",119000000,36000000,83000000,,,,"454,4286768","0,399809028"
2021,YR2021,Malawi,MWI,"1509,504777",,,,,,,,,"0,387531555"
2019,YR2019,Malaysia,MYS,"28421,46248","6,494351742",13694000000,1309000000,12385000000,26101000,,,"121,4630895","0,385970571"
2020,YR2020,Malaysia,MYS,"26471,67382","2,804304987",5206000000,386000000,4820000000,4333000,,,"120,0799867","0,372916243"
2021,YR2021,Malaysia,MYS,"26959,24926",,,,,,,,"123,0544909","0,383934399"
2019,YR2019,Maldives,MDV,"19510,49184","10,53669597",431000000,82000000,349000000,1703000,,,"136,5631749","0,519408523"
2020,YR2020,Maldives,MDV,"12744,42979","4,32894315",106000000,14000000,92000000,555000,,,"134,6925677","0,515094989"
2021,YR2021,Maldives,MDV,"16595,96533",,,,,,,,"135,42415","0,493337024"
2019,YR2019,Mali,MLI,"2321,702199",,,,,217000,,,"108,7260798","0,363287712"
2020,YR2020,Mali,MLI,"2225,894238",,,,,,,,"109,2023967","0,3673457"
2021,YR2021,Mali,MLI,"2227,685595",,,,,,,,"113,4892491","0,375068016"
2019,YR2019,Malta,MLT,"45396,73229",,,,530000000,3519000,774000,"1,6","113,4524741","0,657815728"
2020,YR2020,Malta,MLT,"40696,73837",,,,127000000,718000,218000,,"114,1769192","0,669388042"
2021,YR2021,Malta,MLT,"44395,33046",,,,,,,,"115,8871663","0,697009407"
2019,YR2019,Marshall Islands,MHL,"4048,088715",,,,,"6099,999905",,,,"0,965435174"
2020,YR2020,Marshall Islands,MHL,"3931,771419",,,,,,,,,"0,995841369"
2021,YR2021,Marshall Islands,MHL,"3806,213557",,,,,,,,,"0,997487662"
2019,YR2019,Mauritania,MRT,"5343,997921","1,520524849",56000000,25000000,31000000,,,,"135,0188968","0,313006385"
2020,YR2020,Mauritania,MRT,"5109,804948","0,952461312",35000000,17000000,18000000,,,,"138,2400357","0,315881007"
2021,YR2021,Mauritania,MRT,"5089,987374",,,,,,,,,"0,308130327"
2019,YR2019,Mauritius,MUS,"22869,75631","8,90751176",656000000,78000000,578000000,1418000,320000,,"129,9140349","0,465583607"
2020,YR2020,Mauritius,MUS,"19462,93435","4,287190234",224000000,19000000,205000000,316000,65000,,"133,2668574","0,420518428"
2021,YR2021,Mauritius,MUS,"20244,1616",,,,,,,,"138,6355512","0,396225485"
2019,YR2019,Mexico,MEX,"19675,44067","2,482011807",12300000000,2419000000,9881000000,97406000,82752000,,"141,542523","0,500953352"
2020,YR2020,Mexico,MEX,"17878,27729","1,041716347",4286000000,811000000,3475000000,51128000,36056000,,"146,3504877","0,451596092"
2021,YR2021,Mexico,MEX,"18544,71206",,,,,,,,"154,6766721","0,495418105"
2019,YR2019,"Micronesia, Fed. Sts.",FSM,"3465,119981",,,,,18000,,,"116,0560184","1,003567943"
2020,YR2020,"Micronesia, Fed. Sts.",FSM,"3368,137937",,,,,,,,"116,6953689","0,997290362"
2021,YR2021,"Micronesia, Fed. Sts.",FSM,"3226,143032",,,,,,,,,"0,980934124"
2019,YR2019,Moldova,MDA,"13026,51597","7,233044697",479000000,93000000,386000000,174000,311000,"2,3","166,1962796","0,330878625"
2020,YR2020,Moldova,MDA,"12269,92307","5,106177393",303000000,27000000,276000000,29000,75000,,"172,4551837","0,349698435"
2021,YR2021,Moldova,MDA,"14233,85342",,,,,,,,"181,2614547","0,33986377"
2019,YR2019,Monaco,MCO,,,,,,363000,,,,
2020,YR2020,Monaco,MCO,,,,,,159000,,,,
2021,YR2021,Monaco,MCO,,,,,,,,,,
2019,YR2019,Mongolia,MNG,"12486,07746","11,20099104",1036000000,111000000,925000000,637000,,"1,1","195,7629029","0,33849457"
2020,YR2020,Mongolia,MNG,"11723,8735","7,806263416",573000000,23000000,550000000,"66900,00153",,,"202,9927582","0,328398085"
2021,YR2021,Mongolia,MNG,"11708,36094",,,,,,,,"217,4023295","0,352562218"
2019,YR2019,Montenegro,MNE,"21533,93209","1,999894569",72000000,14000000,58000000,2510000,,"0,9","116,7406969","0,386167871"
2020,YR2020,Montenegro,MNE,"18258,9495","1,302931119",38000000,8000000,30000000,351000,,,"116,4422427","0,384930819"
2021,YR2021,Montenegro,MNE,"20566,83806",,,,,,,,"119,2494346","0,410916847"
2019,YR2019,Morocco,MAR,"7546,754883","5,734106076",3102000000,926000000,2176000000,13109000,2009000,"11,1","111,0675582","0,411302317"
2020,YR2020,Morocco,MAR,"6986,283691","3,255082922",1509000000,396000000,1113000000,2802000,646000,,"111,8516604","0,415081652"
2021,YR2021,Morocco,MAR,"7412,672852",,,,,,,,"113,4197746","0,429391222"
2019,YR2019,Mozambique,MOZ,"1281,780014","1,034369899",99000000,4000000,95000000,2033000,,,"182,3147834","0,379389071"
2020,YR2020,Mozambique,MOZ,"1229,940296","1,135837977",95000000,5000000,90000000,,,,"188,0425511","0,345983455"
2021,YR2021,Mozambique,MOZ,"1221,824336",,,,,,,,,"0,372829093"
2019,YR2019,Myanmar,MMR,"4739,710438","1,232993255",214000000,28000000,186000000,4364000,,,"168,1827007","0,257323155"
2020,YR2020,Myanmar,MMR,"4857,389834",,,,,903000,,,,"0,283144102"
2021,YR2021,Myanmar,MMR,"3954,999906",,,,,,,,,"0,273246033"
2019,YR2019,Namibia,NAM,"9809,218482","2,035454316",118000000,11000000,107000000,1651000,,,"157,968368","0,491850808"
2020,YR2020,Namibia,NAM,"8872,622653","1,668950496",77000000,5000000,72000000,"187100,0061",,,"161,4584932","0,444195437"
2021,YR2021,Namibia,NAM,"8925,201528",,,,,,,,"167,298294","0,482323632"
2019,YR2019,Nauru,NRU,"13525,77285",,,,,,,,,"0,782438172"
2020,YR2020,Nauru,NRU,"13592,84507",,,,,,,,,"0,737955802"
2021,YR2021,Nauru,NRU,"13747,25069",,,,,,,,,"0,81126543"
2019,YR2019,Nepal,NPL,"3952,760349","5,15310843",713000000,11000000,702000000,1197000,,,"188,7299772","0,290067383"
2020,YR2020,Nepal,NPL,"3789,150372","2,496626337",267000000,4000000,263000000,230000,,,"198,2653074","0,287107335"
2021,YR2021,Nepal,NPL,"3878,44442",,,,,,,,"206,3702156","0,287004178"
2019,YR2019,Netherlands,NLD,"56784,03725","3,406055672",22547400391,2067699951,20479699219,20129000,22045000,,"115,9079949","0,889363166"
2020,YR2020,Netherlands,NLD,"54324,38441","1,206510163",7435700195,"406600006,1",7029100098,7265000,,"0,7","117,3828783","0,884068926"
2021,YR2021,Netherlands,NLD,"56761,01473",,,,,,,,"120,5237155","0,910519618"
2019,YR2019,New Caledonia,NCL,,,,,,130000,144000,,,
2020,YR2020,New Caledonia,NCL,,,,,,31000,48000,,,
2021,YR2021,New Caledonia,NCL,,,,,,,,,,
2019,YR2019,New Zealand,NZL,"43110,37124",,,,4408000000,3888000,3225000,,"114,2409118","0,940959565"
2020,YR2020,New Zealand,NZL,"41642,02809",,,,1466000000,996000,511000,,"116,1996427","0,931450496"
2021,YR2021,New Zealand,NZL,"43301,43159",,,,,,,,"120,7792107","1,051318433"
2019,YR2019,Nicaragua,NIC,"5445,729533","4,990802207",312000000,131000000,181000000,1455000,949000,,"162,7396072","0,339080259"
2020,YR2020,Nicaragua,NIC,"5284,46199","1,71769223",102000000,39000000,63000000,474000,325000,,"168,7313759","0,340884166"
2021,YR2021,Nicaragua,NIC,"5763,427315",,,,,,,,"177,0471566","0,33020556"
2019,YR2019,Niger,NER,"1224,375135","4,256236823",144500000,42000000,102500000,192000,,,"109,3236868","0,434230364"
2020,YR2020,Niger,NER,"1221,26993",,,,,85000,,,"112,4920991","0,44068497"
2021,YR2021,Niger,NER,"1192,263286",,,,,,,,"116,8093974","0,454205622"
2019,YR2019,Nigeria,NGA,"5135,499469","16,27253265",16406000000,2897000000,13509000000,,,,"267,5115151","0,416621487"
